id,title,description,url,audio
eastnewyork_jordanholtzman_20140717,"Oral history interview with Jordan Holtzman, 2015.11",,,audio/eastnewyork_jordanholtzman_20140717.mp3
eastnewyork_luisgonzalez_20141023,Oral history interview with Luis Gonzalez 2015.11,,,audio/eastnewyork_luisgonzalez_20141023.mp3
